market_id,condition_id,question,slug,start_date,end_date,volume,liquidity,category_raw,broad_category,outcomes,final_yes_price,resolved_yes,outcome_binary,resolution,num_outcomes,clob_token_ids,duration_hours,duration_days
248490,0x02823013ae4e640b31d88eef165a8021ab7b6300ca0adbf975d72dedd626bf0e,Boxing: Jake Paul vs. Tommy Fury,boxing-jake-paul-vs-tommy-fury,2023-01-27 22:29:31.441000+00:00,2023-02-26 00:00:00+00:00,31398.453320000004,19.572039,unknown,other,"['Paul', 'Fury']",4.482457301482241e-05,,,,2,"[""31195509212097524605421292025523669499800608021363392222207273729434232900675"", ""25830386375122413841842835652405172282662627165689148198015348642418144639421""]",697.5079330555556,29.06283054398148
248494,0xc4e0dca050424bec2df1c0eb0d362b0dd8e84c7e0c02e5191dd03c1ad3ebabac,NBA: Lakers vs. Nets (01/30/2023),nba-lakers-vs-nets-01302023,2023-01-30 16:31:14.794000+00:00,2023-01-30 00:00:00+00:00,10625.583478999999,25.000023,lakers vs. nets,sports,"['Lakers', 'Nets']",8.669474940251896e-08,,,,2,"[""2541166413605195562405024370140328465229857435112797236162225593142819095945"", ""12042587924872055769821870368783032753893556767266421691765240431423532615175""]",-16.52077611111111,-0.6883656712962963
248495,0x41d92ef0532a10cc302734a508d453b0e0596572a87a1e7cd26c3eb096af0389,NBA: Pistons vs. Mavericks (01/30/2023),nba-pistons-vs-mavericks-01302023,2023-01-30 16:31:14.812000+00:00,2023-01-30 00:00:00+00:00,3750.984273,25.000036,pistons vs. mavericks,sports,"['Pistons', 'Mavericks']",1.473886737263804e-06,,,,2,"[""62585191625355058678161495354541169048134991590981779660995984278786619776658"", ""115083089826399679967001455415757913721170037226495836132602789305871573336725""]",-16.52078111111111,-0.6883658796296296
248496,0x26aaa996aca5a49dc6f953345dc040c307cc3193fd266233a552b4cb656e7b68,NBA: Raptors vs. Suns (01/30/2023),nba-raptors-vs-suns-01302023,2023-01-30 16:31:14.846000+00:00,2023-01-30 00:00:00+00:00,382.55116699999996,25.000025,raptors vs. suns,sports,"['Raptors', 'Suns']",1.9006070678499047e-07,,,,2,"[""59934972241418523019355520979088080559003011200583101152766472774176644156025"", ""112537892602795289050404522063440435156775798288625861960383657309900121621191""]",-16.520790555555553,-0.688366273148148
248497,0xa3d8781a3de16ad604801a259583976f0efa7a6c9f27b06f9647c97a4a5a4e7c,NBA: Hawks vs. Trail Blazers (01/30/2023),nba-hawks-vs-trail-blazers-01302023,2023-01-30 16:31:14.852000+00:00,2023-01-29 00:00:00+00:00,5246.832593,25.00001,hawks vs. trail blazers,sports,"['Hawks', 'Trail Blazers']",1.4381733212384446e-06,,,,2,"[""75122266654118538208584551794816271569417297509860729830238911906599618486787"", ""85515593012637904029094987886676833933850191483035076092607556007844649907637""]",-40.52079222222223,-1.6883663425925928
248505,0x6cc240c12f0b4617369408b9f39e134293f16c840b82fc462d9824be11b17f53,"Will @elonmusk have more than 22,726 tweets on February 10?",will-elonmusk-have-more-than-22726-tweets-on-february-10,2023-02-10 17:01:27.913000+00:00,2023-02-10 00:00:00+00:00,4465.913030000001,100.005009,unknown,other,"['Yes', 'No']",0.0005026577395447885,,,,2,"[""104103238578434785619086187508392173964597657435509224302961138553685952244568"", ""73096015757680878890371222460611927993888914911640919694635281139459835310639""]",-17.02442027777778,-0.7093508449074074
248507,0xdeeed8e593b23c853cd1bc1c85259b9535f32734d2a73f4f7d5e487faaa4eed1,Will NATO expand by June 30?,will-nato-expand-by-june-30,2023-01-30 19:06:23.106000+00:00,2023-07-01 00:00:00+00:00,29198.551063,2499.2911310000004,june 30,other,"['Yes', 'No']",1.0,True,1.0,,2,"[""41909194383884489857051533149267887932706513238474711698327450766299364965897"", ""46296129944740145134028887886488800558338482961897658822042889421944724008114""]",3628.8935816666667,151.2038992361111
248509,0xb7e10f4e27c23797fea410d0ea486ff2c310caec82e88cb65eb0326f0b7ff8c5,"Will Joe Biden be President of the United States on June 1, 2023?",will-joe-biden-be-president-of-the-united-states-on-june-1-2023,2023-04-24 18:13:17.914000+00:00,2023-06-01 00:00:00+00:00,828643.8758619999,23915.863449000004,"june 1, 2023",politics,"['Yes', 'No']",1.0,True,1.0,,2,"[""52644003969251968869441622436463110626097607363533001723463307168427841907869"", ""40369820145495574054442647452764356421869475278196849464231784556801413164843""]",893.7783572222222,37.24076488425926
248510,0x72c797759025008d86ea7832bde9a880231b5f26b2e337580bf4fac75375a94f,Will more than 2.2 million people travel through a TSA checkpoint on any day by February 6?,will-more-than-2pt2-million-people-travel-through-a-tsa-checkpoint-on-any-day-by-february-6,2023-01-30 20:54:18.438000+00:00,2023-02-07 00:00:00+00:00,212.03105,20.005011,unknown,other,"['Yes', 'No']",2.65864762286301e-07,,,,2,"[""22879355359466154713923471127989210853688866110947180657971800485706233698654"", ""79761444649418207358266137844726521047524968381487214203277410400795766592497""]",171.09487833333336,7.1289532638888895
248511,0x506796c1fb3bbc85ca33427fcf8df6136896d9c4b7abec36e7b9a9e6b074621e,Super Bowl LVII: Eagles vs. Chiefs,super-bowl-lvii-eagles-vs-chiefs,2023-02-12 14:30:18.597000+00:00,2023-02-12 00:00:00+00:00,304392.856053,21.286857,unknown,other,"['Eagles', 'Chiefs']",1.2798096726574133e-05,,,,2,"[""25701001948440085211847746191266626907443286230451819785215356975761105252268"", ""12911508177196216615859072208959090855154879917097268360859588445272436482821""]",-14.505165833333335,-0.6043819097222223
